key,url,username,title,description,favicon,tag1,tag2,tag3,tag4,tag5
-53,https://medium.com/@meagle/understanding-87566abcfb7a#.22prih56b,Xiaoyun Yang,Understanding Redux Middleware,"""By currying and composing your functions, you can create powerful new functions that create a pipeline for data processing""",Reading,frontend,CS,FP,webapp,NULL
-54,https://www.quora.com/What-makes-Bayesian-reasoning-appealing-to-you,Xiaoyun Yang,The Appeal of Bayesian Reasoning,Bayesian reasoning is an elegant and practically useful approach to model mapping from s->x. The appeal of the probability approach is that it naturally enables one to integrate prior knowledge about a problem into the solution.,Discussion,AI,bayesian,model,markov,NULL
-55,https://www.quora.com/session/David-Barber-34/1,Xiaoyun Yang,David Barber's Quora Session Recap,,Website,AI,CS,research,NULL,NULL
-56,https://addyosmani.com/resources/essentialjsdesignpatterns/book/,Xiaoyun Yang,Learn Javascript Design Patterns with Addy Osmani,ebook,Reading,frontend,webapp,software,learning,NULL
-57,https://www.evernote.com/l/AF8_VDZJWOlJTKLsbtouJh_D-i1MGCriQdw,Xiaoyun Yang,Newbie's Guide to Web Design Webapp Dev,live doc on hosted on evernote,Reading,frontend,learning,in progress,webapp,NULL
-58,http://xiaoyunyang.github.io/matrix/matrix.html,LooseLeaf,Prototype for Interactive Matrix menu (Dummy data),"Navigate your data using a heatmap / table / matrix representation of your data. Two matrix orientations, including tags vs. media and tags vs. authors.",Interactive,frontend,webapp,datavis,in progress,startup
59,http://xiaoyunyang.github.io/piechart/pie-collection.html,LooseLeaf,Prototype for Interactive piechart menu,Navigate your data using a heatmap / matrix chart representation of your data. Each segment has a size that scales with the size of the sub-collection.,Interactive,frontend,webapp,datavis,in progress,startup
60,http://xiaoyunyang.github.io/#matrix,LooseLeaf,Prototype for Interactive Matrix menu (for bookmarks),Prototype for Interactive Matrix menu for a dynamic collection of bookmarks curated around arbitrary tags. The menu chart allows for one and two dimensional filtering using tags and media-type.,Interactive,frontend,webapp,datavis,in progress,startup
61,https://github.com/xiaoyunyang/play-react-d3,LooseLeaf,Prototype for backend built in Play and Scala,,Code,backend,webapp,in progress,reactive,startup
-63,https://www.quora.com/How-important-is-understanding-the-brain-for-deep-learning-and-vice-versa-3,Xiaoyun Yang,How important is understanding the brain for deep learning,"Understanding how the brain processes information (heirarchical, binary, distributed, asynchronous) can greatly benefit understanding of deep learning",Discussion,AI,deep learning,NULL,NULL,NULL
